"OrganisationCode","CanonicalOrganisationName","OrganisationType","RegionCode","RegionName","ICSCode","ICSName","ValidFromMonth","ValidToMonth","StableAllThreeMonths","InclusionFlag","ReportingCohort","ObservedAliases","MappingStatus","ReviewNote"
"RCD","Harrogate and District NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QOQ","Humber and North Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Harrogate and District NHS Foundation Trust","Approved",""
"RCF","Airedale NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QWO","West Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Airedale NHS Foundation Trust","Approved",""
"RCU","Sheffield Children's NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QF7","South Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Sheffield Children's NHS Foundation Trust","Approved",""
"RCX","Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","Acute","Y61","East of England","QMM","Norfolk and Waveney","2024-04-30","2025-03-31","True","False","National stable reference","Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","Approved",""
"RD1","Royal United Hospitals Bath NHS Foundation Trust","Acute","Y58","South West","QOX","Bath and North East Somerset, Swindon and Wiltshire","2024-04-30","2025-03-31","True","False","National stable reference","Royal United Hospitals Bath NHS Foundation Trust","Approved",""
"RD8","Milton Keynes University Hospital NHS Foundation Trust","Acute","Y61","East of England","QHG","Bedfordshire, Luton and Milton Keynes","2024-04-30","2025-03-31","True","False","National stable reference","Milton Keynes University Hospital NHS Foundation Trust","Approved",""
"RDE","East Suffolk and North Essex NHS Foundation Trust","Acute","Y61","East of England","QJG","Suffolk and North East Essex","2024-04-30","2025-03-31","True","False","National stable reference","East Suffolk and North Essex NHS Foundation Trust","Approved",""
"RDR","Sussex Community NHS Foundation Trust","Community Provider Trust","Y59","South East","QNX","Sussex","2024-04-30","2025-03-31","True","False","National stable reference","Sussex Community NHS Foundation Trust","Approved",""
"RDU","Frimley Health NHS Foundation Trust","Acute","Y59","South East","QNQ","Frimley","2024-04-30","2025-03-31","True","False","National stable reference","Frimley Health NHS Foundation Trust","Approved",""
"RDY","Dorset Healthcare University NHS Foundation Trust","Mental Health","Y58","South West","QVV","Dorset","2024-04-30","2025-03-31","True","False","National stable reference","Dorset Healthcare University NHS Foundation Trust","Approved",""
"REF","Royal Cornwall Hospitals NHS Trust","Acute","Y58","South West","QT6","Cornwall and the Isles of Scilly","2024-04-30","2025-03-31","True","False","National stable reference","Royal Cornwall Hospitals NHS Trust","Approved",""
"REM","Liverpool University Hospitals NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Liverpool University Hospitals NHS Foundation Trust","Approved",""
"REP","Liverpool Women's NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Liverpool Women's NHS Foundation Trust","Approved",""
"RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Acute","Y56","London","QMF","North East London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Barking, Havering and Redbridge University Hospitals NHS Trust","Approved",""
"RFF","Barnsley Hospital NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QF7","South Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Barnsley Hospital NHS Foundation Trust","Approved",""
"RFR","Rotherham NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QF7","South Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Rotherham NHS Foundation Trust","Approved",""
"RFS","Chesterfield Royal Hospital NHS Foundation Trust","Acute","Y60","Midlands","QJ2","Derby and Derbyshire","2024-04-30","2025-03-31","True","False","National stable reference","Chesterfield Royal Hospital NHS Foundation Trust","Approved",""
"RGN","North West Anglia NHS Foundation Trust","Acute","Y61","East of England","QUE","Cambridgeshire and Peterborough","2024-04-30","2025-03-31","True","False","National stable reference","North West Anglia NHS Foundation Trust","Approved",""
"RGP","James Paget University Hospitals NHS Foundation Trust","Acute","Y61","East of England","QMM","Norfolk and Waveney","2024-04-30","2025-03-31","True","False","National stable reference","James Paget University Hospitals NHS Foundation Trust","Approved",""
"RGR","West Suffolk NHS Foundation Trust","Acute","Y61","East of England","QJG","Suffolk and North East Essex","2024-04-30","2025-03-31","True","False","National stable reference","West Suffolk NHS Foundation Trust","Approved",""
"RGT","Cambridge University Hospitals NHS Foundation Trust","Acute","Y61","East of England","QUE","Cambridgeshire and Peterborough","2024-04-30","2025-03-31","True","False","National stable reference","Cambridge University Hospitals NHS Foundation Trust","Approved",""
"RH5","Somerset NHS Foundation Trust","Acute","Y58","South West","QSL","Somerset","2024-04-30","2025-03-31","True","False","National stable reference","Somerset NHS Foundation Trust","Approved",""
